  528482304,   -3538944,    2621440, 1073741824
  532676608,   12386304,   -3014656, 1073741824
  536870912,   -6422528,   -5898240, 1073741824
  541065216,   58916864,          0, 1073741824
  545259520,   -5439488,    6815744, 1073741824
  549453824,   12648448,    3014656, 1073741824
  553648128,   -2949120,   -2818048, 1073741824
  557842432,  -17694720,   -3538944, 1073741824
  562036736,   -4390912,   -1048576, 1073741824
  566231040,    2686976,    3604480, 1073741824
  570425344,   -7340032,    9568256, 1073741824
  574619648,   -6291456,    2883584, 1073741824
  578813952,    5898240,   -7864320, 1073741824
  583008256,   -2424832,   -1441792, 1073741824
  587202560,  -14876672,   17498112, 1073741824
  591396864,    4521984,   21889024, 1073741824
  595591168,  -28246016,  -62717952, 1073741824
  599785472,   -8519680,  -16711680, 1073741824
  603979776,  -24051712,    1703936, 1073741824
  608174080,  -12058624,    2359296, 1073741824
  612368384,    4521984,   -4718592, 1073741824
  616562688,   -1572864,    1179648, 1073741824
  620756992,  -12320768,    4915200, 1073741824
  624951296,   -9109504,   -6029312, 1073741824
  629145600,   -5767168,   -3473408, 1073741824
  633339904,   -8388608,   17170432, 1073741824
  637534208,   -4587520,   16515072, 1073741824
  641728512,   -3080192,   -1703936, 1073741824
  645922816,  -19267584,   25624576, 1073741824
  650117120,    6946816,  -48627712, 1073741824
  654311424,    1376256,   -6225920, 1073741824
  658505728,    8454144,  -22413312, 1073741824
  662700032,    3342336,  -17956864, 1073741824
  666894336,   -6422528,    1114112, 1073741824
  671088640,   -7012352,   -2686976, 1073741824
  675282944,   -1114112,  -11993088, 1073741824
  679477248,    5373952,   -1703936, 1073741824
  683671552,    5177344,    3080192, 1073741824
  687865856,   -3211264,  -14221312, 1073741824
  692060160,   -6291456,  -15400960, 1073741824
  696254464,    7602176,    6488064, 1073741824
  700448768,   41877504,   -1179648, 1073741824
  704643072,  -26279936,   -5898240, 1073741824
  708837376,  -18677760,  -13369344, 1073741824
  713031680,  -11272192,    9633792, 1073741824
  717225984,   -5832704,   12779520, 1073741824
  721420288,   -7077888,   -5111808, 1073741824
  725614592,   -3145728,   -7667712, 1073741824
  729808896,     917504,    3407872, 1073741824
  734003200,   -8519680,    2097152, 1073741824
  738197504,  -14286848,   -3211264, 1073741824
  742391808,    2293760,    6422528, 1073741824
  746586112,   15532032,    8978432, 1073741824
  750780416,    1769472,   -1376256, 1073741824
  754974720,   41353216,   36044800, 1073741824
  759169024,  -21168128,   -3801088, 1073741824
  763363328,    1114112,    4849664, 1073741824
  767557632,  -10813440,   -8781824, 1073741824
  771751936,  -17760256,  -13697024, 1073741824
  775946240,   -5570560,   -1376256, 1073741824
  780140544,   -4194304,    5636096, 1073741824
  784334848,  -15138816,    1048576, 1073741824
  788529152,   -6488064,   -4194304, 1073741824
  792723456,    6225920,   -5308416, 1073741824
  796917760,   -8060928,   -3276800, 1073741824
  801112064,  -24117248,    2162688, 1073741824
  805306368,   -5963776,    5373952, 1073741824
  809500672,   12976128,  -35389440, 1073741824
  813694976,   -5767168,   -6750208, 1073741824
  817889280,  -24707072,   -3080192, 1073741824
  822083584,   -8585216,    2883584, 1073741824
  826277888,    6488064,    4063232, 1073741824
  830472192,   -6225920,    2555904, 1073741824
  834666496,  -14417920,   -1835008, 1073741824
